my_energy,ibm_energy,my_real_energy,ibm_real_energy,my_nit,ibm_nit,minimizer,my_theta,ibm_theta,my_phi,ibm_phi,my_lambda,ibm_lambda
-1.7602645221567843,-1.8426866819052283,-1.7405683195177133,-1.7718628866077124,6,7,SLSQP,-0.0,2.912,2.912,0.0,-0.0,-0.0
-1.7602645221582554,-1.8426866819052283,-1.7579890894588424,-1.7743922458816503,3,7,BFGS,-0.0,2.912,2.912,0.0,-0.0,-0.0
-1.7602645221582565,-1.8426866819052283,-1.7679118041515836,-1.7476383859276596,2,7,Powell,2.671,2.912,2.912,0.0,-0.0,-0.0
-1.7602645221426154,-1.8426866819052283,-1.752397693054115,-1.7584740199758169,6,7,CG,-0.0,2.912,2.912,0.0,-0.0,-0.0
