backend,embedding,time
JOHANNESBURG,0,0.6800940036773682
JOHANNESBURG,1,0.5591270923614502
JOHANNESBURG,2,0.6570899486541748
JOHANNESBURG,3,0.5823249816894531
ALMADEN,0,0.5129988193511963
ALMADEN,1,0.5306010246276855
ALMADEN,2,0.6060779094696045
ALMADEN,3,0.5479202270507812
BOEBLINGEN,0,0.6544010639190674
BOEBLINGEN,1,0.5781712532043457
BOEBLINGEN,2,0.5774228572845459
BOEBLINGEN,3,0.7804958820343018
POUGHKEEPSIE,0,0.6454520225524902
POUGHKEEPSIE,1,0.6811797618865967
POUGHKEEPSIE,2,0.6030659675598145
POUGHKEEPSIE,3,0.5825169086456299
SINGAPORE,0,0.6498498916625977
SINGAPORE,1,0.6593332290649414
SINGAPORE,2,0.5894489288330078
SINGAPORE,3,0.5620720386505127
TOKYO,0,0.5024311542510986
TOKYO,1,0.5242898464202881
TOKYO,2,0.5311710834503174
TOKYO,3,0.5854430198669434
TOKYO,4,0.6092519760131836
