hardware,my_guarantee,ibm_simulated,diff
Manhattan,0.981,0.061,0.92
Rochester,0.947,0.071,0.876
Sydney,0.986,0.804,0.182
Bogota,0.971,0.904,0.067
Cairo,0.989,0.934,0.055
Washington,0.987,0.934,0.053
Tenerife,0.923,0.876,0.047
Melbourne,0.965,0.933,0.032
Almaden,0.973,0.944,0.029
Brooklyn,0.984,0.956,0.028
Cambridge,0.957,0.932,0.025
Johannesburg,0.965,0.94,0.025
Mumbai,0.989,0.965,0.024
Kolkata,0.988,0.971,0.017
Casablanca,0.979,0.962,0.017
Singapore,0.98,0.966,0.014
Perth,0.984,0.97,0.014
Essex,0.969,0.956,0.013
Auckland,0.99,0.979,0.011
Belem,0.973,0.964,0.009
Geneva,0.99,0.982,0.008
Boeblingen,0.982,0.974,0.008
Yorktown,0.964,0.956,0.008
Rome,0.982,0.975,0.007
Montreal,0.986,0.979,0.007
Vigo,0.983,0.977,0.006
Paris,0.983,0.977,0.006
Ourense,0.986,0.981,0.005
Quito,0.942,0.938,0.004
Lagos,0.988,0.984,0.004
Guadalupe,0.985,0.983,0.002
Burlington,0.966,0.964,0.002
Oslo,0.984,0.982,0.002
Hanoi,0.99,0.988,0.002
Jakarta,0.979,0.977,0.002
Manila,0.982,0.981,0.001
Nairobi,0.985,0.985,0.0
Poughkeepsie,0.973,0.973,0.0
Athens,0.979,0.98,-0.001
Tokyo,0.962,0.963,-0.001
Santiago,0.988,0.989,-0.001
Toronto,0.985,0.987,-0.002
London,0.981,0.985,-0.004
Lima,0.985,0.99,-0.005
