hardware,my_guarantee,ibm_simulated,diff
Manhattan,0.981,0.115,0.866
Rochester,0.947,0.088,0.859
Cambridge,0.957,0.118,0.839
Geneva,0.99,0.19,0.8
Washington,0.987,0.207,0.78
Bogota,0.971,0.893,0.078
Poughkeepsie,0.973,0.908,0.065
Paris,0.983,0.946,0.037
Melbourne,0.965,0.941,0.024
Tenerife,0.923,0.899,0.024
Mumbai,0.989,0.97,0.019
Casablanca,0.979,0.961,0.018
Brooklyn,0.984,0.966,0.018
Boeblingen,0.982,0.964,0.018
Lagos,0.988,0.971,0.017
Johannesburg,0.965,0.948,0.017
Toronto,0.985,0.969,0.016
Tokyo,0.962,0.947,0.015
Kolkata,0.988,0.974,0.014
Rome,0.982,0.972,0.01
Essex,0.969,0.96,0.009
Auckland,0.99,0.981,0.009
Hanoi,0.99,0.982,0.008
Athens,0.979,0.971,0.008
Singapore,0.98,0.974,0.006
Burlington,0.966,0.961,0.005
Vigo,0.983,0.978,0.005
Sydney,0.986,0.981,0.005
Montreal,0.986,0.982,0.004
Belem,0.973,0.969,0.004
Yorktown,0.964,0.96,0.004
Quito,0.942,0.938,0.004
Manila,0.982,0.981,0.001
Santiago,0.988,0.987,0.001
Jakarta,0.979,0.979,0.0
Nairobi,0.985,0.985,0.0
Ourense,0.986,0.987,-0.001
Lima,0.985,0.987,-0.002
Oslo,0.984,0.986,-0.002
Almaden,0.973,0.976,-0.003
Cairo,0.989,0.992,-0.003
Perth,0.984,0.987,-0.003
London,0.981,0.985,-0.004
Guadalupe,0.985,0.99,-0.005
