hardware,embedding,horizon,lambda,time
fake_cambridge,0,3,0.94446007689068700600000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,1,3,0.94114149598515060300000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,2,3,0.94757428627915053100000000000000000000000000000000000000000000000000000000000000,11
fake_cambridge,3,3,0.95735308010160208000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,4,3,0.95477142487873392000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,5,3,0.95067595356870201000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,6,3,0.93935639559964993000000000000000000000000000000000000000000000000000000000000000,11
fake_cambridge,7,3,0.94601035024866444800000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,8,3,0.94282622152539620000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,9,3,0.94853554478309682000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,10,3,0.93313816071482462000000000000000000000000000000000000000000000000000000000000000,11
fake_cambridge,11,3,0.94826311600457913600000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,12,3,0.95377291565822336000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,13,3,0.93254076901293381200000000000000000000000000000000000000000000000000000000000000,11
fake_cambridge,14,3,0.94253326021459580000000000000000000000000000000000000000000000000000000000000000,11
fake_cambridge,15,3,0.19720508343739216000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,16,3,0.19659604526546290800000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,17,3,0.19688585363090714000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,18,3,0.94887761280369155800000000000000000000000000000000000000000000000000000000000000,11
fake_cambridge,19,3,0.92941845352195469500000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,20,3,0.93235642809080176000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,21,3,0.95546931305774078000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,22,3,0.19728218366782614800000000000000000000000000000000000000000000000000000000000000,11
fake_cambridge,23,3,0.11999399114048918600000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,24,3,0.19726900752167688000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,25,3,0.87344332067636992000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,26,3,0.89370176995430809600000000000000000000000000000000000000000000000000000000000000,11
fake_cambridge,27,3,0.93675898424684748800000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,28,3,0.19721591976023940000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,29,3,0.19231671646671465600000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,30,3,0.19153825103118103000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,31,3,0.83700728421648307200000000000000000000000000000000000000000000000000000000000000,11
fake_cambridge,32,3,0.89785573470103142400000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,33,3,0.95610997273716569600000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,34,3,0.94657362855416270000000000000000000000000000000000000000000000000000000000000000,12
fake_cambridge,35,3,0.19637852490392484000000000000000000000000000000000000000000000000000000000000000,11
