hardware,embedding,horizon,lambda,time
fake_almaden,0,3,0.835976317679580000000000000000,5
fake_almaden,0,4,0.835976317679580000000000000000,34
fake_almaden,0,5,0.835993037289531223367958000000,200
fake_almaden,1,3,0.814845618774704000000000000000,5
fake_almaden,1,4,0.814853767230891747040000000000,34
fake_almaden,1,5,0.814861915768564055957470400000,200
fake_almaden,2,3,0.824793837455896000000000000000,6
fake_almaden,2,4,0.824793837455896000000000000000,34
fake_almaden,2,5,0.824810333415124501665589600000,199
fake_almaden,3,3,0.820819828616205000000000000000,5
fake_almaden,3,4,0.820819828616205000000000000000,35
fake_almaden,3,5,0.820836245094859306961620500000,197
fake_almaden,4,3,0.834915938275892000000000000000,5
fake_almaden,4,4,0.834915938275892000000000000000,34
fake_almaden,4,5,0.834932636678149111667589200000,197
fake_boeblingen,0,3,0.830374263600000000000000000000,5
fake_boeblingen,0,4,0.830374263600000000000000000000,34
fake_boeblingen,0,5,0.830374263600000000000000000000,197
fake_boeblingen,1,3,0.806872158140895000000000000000,5
fake_boeblingen,1,4,0.806880226862476408950000000000,34
fake_boeblingen,1,5,0.806888295664745033714089500000,194
fake_boeblingen,2,3,0.840033665800000000000000000000,5
fake_boeblingen,2,4,0.840033665800000000000000000000,34
fake_boeblingen,2,5,0.840033665800000000000000000000,195
fake_boeblingen,3,3,0.825927087400000000000000000000,6
fake_boeblingen,3,4,0.825927087400000000000000000000,33
fake_boeblingen,3,5,0.825927087400000000000000000000,196
fake_boeblingen,4,3,0.825927075000000000000000000000,5
fake_boeblingen,4,4,0.825927075000000000000000000000,34
fake_boeblingen,4,5,0.825927075000000000000000000000,195
fake_johannesburg,0,3,0.833864183900000000000000000000,5
fake_johannesburg,0,4,0.833864183900000000000000000000,33
fake_johannesburg,0,5,0.833864183900000000000000000000,193
fake_johannesburg,1,3,0.804384159100000000000000000000,5
fake_johannesburg,1,4,0.804400246863620415910000000000,34
fake_johannesburg,1,5,0.804400246863620415910000000000,195
fake_johannesburg,2,3,0.787641476035997000000000000000,5
fake_johannesburg,2,4,0.787659259492453786240000000000,33
fake_johannesburg,2,5,0.789327410162479103300000000000,195
fake_johannesburg,3,3,0.807211093800000000000000000000,5
fake_johannesburg,3,4,0.807219165910938000000000000000,33
fake_johannesburg,3,5,0.807227238102597109380000000000,195
fake_johannesburg,4,3,0.804448602005576000000000000000,5
fake_johannesburg,4,4,0.804456653092116060300000000000,33
fake_johannesburg,4,5,0.804464691058060971720557600000,194
fake_johannesburg,5,3,0.791465044771302000000000000000,5
fake_johannesburg,5,4,0.791465044771302000000000000000,33
fake_johannesburg,5,5,0.791480874151343930517130200000,192
fake_poughkeepsie,0,3,0.822894921468495000000000000000,5
fake_poughkeepsie,0,4,0.822894921468495000000000000000,34
fake_poughkeepsie,0,5,0.822894921468495000000000000000,193
fake_poughkeepsie,1,3,0.817316341300000000000000000000,5
fake_poughkeepsie,1,4,0.817316341300000000000000000000,33
fake_poughkeepsie,1,5,0.817316341300000000000000000000,194
fake_poughkeepsie,2,3,0.834397051600000000000000000000,5
fake_poughkeepsie,2,4,0.834397051600000000000000000000,34
fake_poughkeepsie,2,5,0.834397051600000000000000000000,196
fake_poughkeepsie,3,3,0.822498068500000000000000000000,6
fake_poughkeepsie,3,4,0.822498068500000000000000000000,33
fake_poughkeepsie,3,5,0.822498068500000000000000000000,197
fake_poughkeepsie,4,3,0.823545665100000000000000000000,6
fake_poughkeepsie,4,4,0.823545665100000000000000000000,36
fake_poughkeepsie,4,5,0.823545665100000000000000000000,198
fake_singapore,0,3,0.791434258800000000000000000000,6
fake_singapore,0,4,0.791450087564319425880000000000,32
fake_singapore,0,5,0.792560642519072730900000000000,194
fake_singapore,1,3,0.830913679200000000000000000000,6
fake_singapore,1,4,0.830913679200000000000000000000,33
fake_singapore,1,5,0.830913679200000000000000000000,194
fake_singapore,2,3,0.794891178600000000000000000000,5
fake_singapore,2,4,0.794891178600000000000000000000,33
fake_singapore,2,5,0.794891178600000000000000000000,195
fake_singapore,3,3,0.820123067700000000000000000000,5
fake_singapore,3,4,0.820123067700000000000000000000,33
fake_singapore,3,5,0.820123067700000000000000000000,193
fake_singapore,4,3,0.794901162400000000000000000000,5
fake_singapore,4,4,0.794901162400000000000000000000,33
fake_singapore,4,5,0.794901162400000000000000000000,193
fake_singapore,5,3,0.794909111411624000000000000000,6
fake_singapore,5,4,0.794909111411624000000000000000,33
fake_singapore,5,5,0.798171250879913602500000000000,192
