backend,embedding,time
VALENCIA,0,0.04812884330749512
VALENCIA,1,0.0496678352355957
ATHENS,0,0.04929685592651367
ATHENS,1,0.04994678497314453
BELEM,0,0.04828214645385742
BELEM,1,0.04994797706604004
BOGOTA,0,0.048423051834106445
BOGOTA,1,0.05059099197387695
BURLINGTON,0,0.07243204116821289
BURLINGTON,1,0.07426190376281738
ESSEX,0,0.07265114784240723
ESSEX,1,0.07353782653808594
LIMA,0,0.04861283302307129
LIMA,1,0.051026344299316406
LONDON,0,0.07227110862731934
LONDON,1,0.07267189025878906
MANILA,0,0.04812002182006836
MANILA,1,0.04981589317321777
OURENSE,0,0.04775214195251465
OURENSE,1,0.05046892166137695
QUITO,0,0.04797792434692383
QUITO,1,0.0500340461730957
ROME,0,0.04816102981567383
ROME,1,0.05882000923156738
SANTIAGO,0,0.04912209510803223
SANTIAGO,1,0.0509190559387207
VIGO,0,0.0498499870300293
VIGO,1,0.05066204071044922
YORKTOWN,0,0.04904484748840332
YORKTOWN,1,0.05111408233642578
