backend,embedding,time
VALENCIA,0,0.29000234603881836
VALENCIA,1,0.2917037010192871
ATHENS,0,701.0222451686859
ATHENS,1,0.2948322296142578
BELEM,0,687.1728827953339
BELEM,1,0.28620362281799316
BOGOTA,0,662.7219395637512
BOGOTA,1,0.295957088470459
BURLINGTON,0,0.13282012939453125
BURLINGTON,1,1893.9034404754639
ESSEX,0,1880.606478691101
ESSEX,1,1869.119990348816
LIMA,0,154.75381207466125
LIMA,1,0.09601211547851562
LONDON,0,1847.5790584087372
LONDON,1,0.13704204559326172
MANILA,0,0.09255576133728027
MANILA,1,0.29070591926574707
OURENSE,0,0.2863774299621582
OURENSE,1,0.09534502029418945
QUITO,0,0.09296107292175293
QUITO,1,0.29489564895629883
ROME,0,0.2849876880645752
ROME,1,0.28652453422546387
SANTIAGO,0,665.403582572937
SANTIAGO,1,0.28850221633911133
VIGO,0,0.0928947925567627
YORKTOWN,0,0.35639119148254395
YORKTOWN,1,0.09551739692687988
