,hardware_spec,embedding_index,horizon,hcxh,hcxh2,twoq,twoq2,h-h2,h-q,h-q2,h2-q,h2-q2,q-q2
0,fake_algiers,0,2,0.846302178117,0.8462858818,,0.846301178888,1.6296317000064064e-05,,9.992289999871673e-07,,-1.5297088000076897e-05,
1,fake_algiers,0,3,0.846302178117,0.8462858818,0.8462858818,0.846301652157092,1.6296317000064064e-05,1.6296317000064064e-05,5.259599080709165e-07,0.0,-1.5770357091993148e-05,-1.5770357091993148e-05
2,fake_algiers,0,4,0.846302178117,0.8462858818,0.8462858818,0.8528188671931747,1.6296317000064064e-05,1.6296317000064064e-05,-0.006516689076174642,0.0,-0.006532985393174706,-0.006532985393174706
3,fake_algiers,0,5,0.846302178117,0.8462858818,0.8462858818,0.8528188760998624,1.6296317000064064e-05,1.6296317000064064e-05,-0.006516697982862363,0.0,-0.006532994299862427,-0.006532994299862427
4,fake_algiers,0,6,0.846302178117,0.8462858818,,,1.6296317000064064e-05,,,,,
5,fake_algiers,1,2,0.8470545985,0.8470456622,,0.847053599,8.936299999984243e-06,,9.994999999873855e-07,,-7.936799999996857e-06,
6,fake_algiers,1,3,0.8470545985,0.8470456622,0.8470456622,0.8470537766222,8.936299999984243e-06,8.936299999984243e-06,8.218777999280391e-07,0.0,-8.114422200056204e-06,-8.114422200056204e-06
7,fake_algiers,1,4,0.8474190265386655,0.8474617549246447,0.8470456622,0.8530399722709834,-4.2728385979184935e-05,0.0003733643386655272,-0.005620945732317861,0.00041609272464471214,-0.005578217346338676,-0.0059943100709833885
8,fake_algiers,1,5,0.8474190265386655,0.8510334793151835,0.8470456622,0.8530399753347212,-0.0036144527765179513,0.0003733643386655272,-0.00562094879605568,0.0039878171151834785,-0.002006496019537729,-0.0059943131347212075
9,fake_algiers,1,6,0.8474190265386655,0.8511012478717639,,,-0.0036822213330983677,,,,,
10,fake_algiers,2,2,0.839286886281,0.839282372,,0.839287886282,4.514281000012055e-06,,-1.000001000006634e-06,,-5.514282000018689e-06,
11,fake_algiers,2,3,0.839287886282,0.839282372,0.839292372,0.8392885686642096,5.514282000018689e-06,-4.485717999935801e-06,-6.823822096269083e-07,-9.99999999995449e-06,-6.196664209645597e-06,3.8033357903088927e-06
12,fake_algiers,2,4,0.839287886282,0.839282372,0.839292372,0.8523279529218358,5.514282000018689e-06,-4.485717999935801e-06,-0.013040066639835812,-9.99999999995449e-06,-0.013045580921835831,-0.013035580921835876
13,fake_algiers,2,5,0.839287886282,0.839282372,0.839292372,0.8523279791469305,5.514282000018689e-06,-4.485717999935801e-06,-0.013040092864930464,-9.99999999995449e-06,-0.013045607146930482,-0.013035607146930528
14,fake_algiers,2,6,0.839287886282,0.839282372,,,5.514282000018689e-06,,,,,
15,fake_algiers,3,2,0.84496850779,0.844978353,,0.844967508491,-9.845210000025695e-06,,9.992989999929591e-07,,1.0844509000018654e-05,
16,fake_algiers,3,3,0.84496850779,0.844978353,0.8449883532,0.8449676575864108,-9.845210000025695e-06,-1.9845409999996733e-05,8.5020358919774e-07,-1.0000199999971038e-05,1.0695413589223435e-05,2.0695613589194473e-05
17,fake_algiers,3,4,0.84496850779,0.844978353,0.8449883532,0.8530128125742739,-9.845210000025695e-06,-1.9845409999996733e-05,-0.00804430478427387,-1.0000199999971038e-05,-0.008034459574273844,-0.008024459374273873
18,fake_algiers,3,5,0.84496850779,0.844978353,0.8449883532,0.8530128160514054,-9.845210000025695e-06,-1.9845409999996733e-05,-0.008044308261405453,-1.0000199999971038e-05,-0.008034463051405427,-0.008024462851405456
19,fake_algiers,3,6,0.84496850779,0.8457552991769924,,,-0.000786791386992447,,,,,
20,fake_algiers,4,2,0.849503181241,0.8494891378,,0.849503181241,1.4043440999977896e-05,,0.0,,-1.4043440999977896e-05,
21,fake_algiers,4,3,0.849504182306,0.8494891378,0.8494991376,0.849503181241,1.5044505999983748e-05,5.044706000045807e-06,1.0010650000058519e-06,-9.999799999937942e-06,-1.4043440999977896e-05,-4.043641000039955e-06
22,fake_algiers,4,4,0.849504182306,0.8494891378,0.8494991376,0.8531181681817552,1.5044505999983748e-05,5.044706000045807e-06,-0.0036139858757552323,-9.999799999937942e-06,-0.003629030381755216,-0.003619030581755278
