,hardware_spec,embedding_index,horizon,hcxh,hcxh2,twoq,twoq2
0,fake_algiers,0,2,0.846302178117,0.8462858818,,0.846301178888
1,fake_algiers,0,3,0.846302178117,0.8462858818,0.8462858818,0.846301652157092
2,fake_algiers,0,4,0.846302178117,0.8462858818,0.8462858818,0.8528188671931747
3,fake_algiers,0,5,0.846302178117,0.8462858818,0.8462858818,0.8528188760998624
4,fake_algiers,0,6,0.846302178117,0.8462858818,,
5,fake_algiers,1,2,0.8470545985,0.8470456622,,0.847053599
6,fake_algiers,1,3,0.8470545985,0.8470456622,0.8470456622,0.8470537766222
7,fake_algiers,1,4,0.8474190265386655,0.8474617549246447,0.8470456622,0.8530399722709834
8,fake_algiers,1,5,0.8474190265386655,0.8510334793151835,0.8470456622,0.8530399753347212
9,fake_algiers,1,6,0.8474190265386655,0.8511012478717639,,
10,fake_algiers,2,2,0.839286886281,0.839282372,,0.839287886282
11,fake_algiers,2,3,0.839287886282,0.839282372,0.839292372,0.8392885686642096
12,fake_algiers,2,4,0.839287886282,0.839282372,0.839292372,0.8523279529218358
13,fake_algiers,2,5,0.839287886282,0.839282372,0.839292372,0.8523279791469305
14,fake_algiers,2,6,0.839287886282,0.839282372,,
15,fake_algiers,3,2,0.84496850779,0.844978353,,0.844967508491
16,fake_algiers,3,3,0.84496850779,0.844978353,0.8449883532,0.8449676575864108
17,fake_algiers,3,4,0.84496850779,0.844978353,0.8449883532,0.8530128125742739
18,fake_algiers,3,5,0.84496850779,0.844978353,0.8449883532,0.8530128160514054
19,fake_algiers,3,6,0.84496850779,0.8457552991769924,,
20,fake_algiers,4,2,0.849503181241,0.8494891378,,0.849503181241
21,fake_algiers,4,3,0.849504182306,0.8494891378,0.8494991376,0.849503181241
22,fake_algiers,4,4,0.849504182306,0.8494891378,0.8494991376,0.8531181681817552
23,fake_algiers,4,5,0.849504182306,0.850006322533951,0.8494991376,0.8531181730970246
24,fake_algiers,4,6,0.849504182306,0.8500090004680599,,
25,fake_algiers,5,2,0.846839090433,0.8468324144,,0.846840088914
26,fake_algiers,5,3,0.846841085876,0.846840882724144,0.84684932064768,0.846840088914
27,fake_algiers,5,4,0.846841085876,0.8468493511329712,0.8468577891408865,0.852344289381467
