hardware,embedding,horizon,lambda,time
fake_auckland,0,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,43
fake_auckland,0,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,225
fake_auckland,0,6,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,1144
fake_auckland,0,7,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,5746
fake_auckland,1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,43
fake_auckland,1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,225
fake_auckland,1,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,1144
fake_auckland,1,7,0.50000350001050001750001750001050000350000050000000000000000000000000000000000000,5745
fake_cairo,0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,43
fake_cairo,0,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,225
fake_cairo,0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,1145
fake_cairo,0,7,0.50000350001050001750001750001050000350000050000000000000000000000000000000000000,5746
fake_cairo,1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,44
fake_cairo,1,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,225
fake_cairo,1,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,1144
fake_cairo,1,7,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,5747
fake_cairo,2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,43
fake_cairo,2,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,225
