horizon,alg_index,hardware_spec,embedding_index,acc
3,0,fake_cambridge,3,0.971947446278
3,0,fake_guadalupe,0,0.9123488690906
3,0,fake_guadalupe,1,0.98144299588084
3,0,fake_melbourne,0,0.952950087689
3,0,fake_melbourne,1,0.960626580192
3,0,fake_melbourne,2,0.90692448269792
3,0,fake_melbourne,3,0.88571854955632
3,0,fake_rochester,0,0.82189201485
3,0,fake_rochester,1,0.7903690581875
3,0,fake_rochester,2,0.618061621925
3,0,fake_rochester,3,0.98186762435
3,0,fake_rochester,4,0.54722743025
3,0,fake_washington,0,0.9874264144
3,0,fake_washington,1,0.77263360547
3,0,fake_washington,2,0.99627690404864
3,1,fake_johannesburg,0,0.748913266862
3,1,fake_johannesburg,1,0.9729582579776
3,1,fake_johannesburg,2,0.9316176877012
3,1,fake_johannesburg,3,0.9889824844825
3,1,fake_almaden,0,0.9748967614065266
3,1,fake_almaden,1,0.9489290412744412
3,1,fake_almaden,2,0.9925325880948199
3,1,fake_almaden,3,0.72846411978488
3,1,fake_boeblingen,0,0.9655304726028
3,1,fake_boeblingen,1,0.9339428681294
3,1,fake_boeblingen,2,0.9884637702848
3,1,fake_boeblingen,3,0.9360163283762
3,1,fake_poughkeepsie,0,0.9926595472
3,1,fake_poughkeepsie,1,0.97501380635
3,1,fake_poughkeepsie,2,0.9194553792
3,1,fake_poughkeepsie,3,0.905341956296
3,1,fake_singapore,0,0.8784691528675
3,1,fake_singapore,1,0.994263590912
3,1,fake_singapore,2,0.96514937608
3,1,fake_singapore,3,0.9526636757075
3,1,fake_tokyo,0,0.94051512032
3,1,fake_tokyo,1,0.896211231584
3,1,fake_tokyo,2,0.87511672099
3,1,fake_tokyo,3,0.98261723205
3,1,fake_tokyo,4,0.94579692377
3,1,fake_hanoi,0,0.957761681664
3,1,fake_hanoi,1,0.99570760211918
3,1,fake_hanoi,2,0.92917174393472
3,1,fake_hanoi,3,0.93059831724296
3,1,fake_cairo,0,0.9902558224
3,1,fake_cairo,1,0.89795856896
3,1,fake_cairo,2,0.97594105300736
3,1,fake_cairo,3,0.995728363881
3,1,fake_mumbai,0,0.96890163309248
3,1,fake_mumbai,1,0.9899709226772
3,1,fake_mumbai,2,0.95425588956242
3,1,fake_mumbai,3,0.8979315555728
3,1,fake_kolkata,0,0.99691379053232
3,1,fake_kolkata,1,0.96180462448926
3,1,fake_kolkata,2,0.9930722612
3,1,fake_kolkata,3,0.9771858310868
3,1,fake_auckland,0,0.8643946595
3,1,fake_auckland,1,0.9934923952
3,1,fake_geneva,0,0.8584669594
3,1,fake_geneva,1,0.9858616048
3,1,fake_montreal,0,0.9882836247029
3,1,fake_montreal,1,0.99686177237342
3,1,fake_montreal,2,0.9019984234572
