,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
program,variable,,,,,,,,
0,accum_prob,141.0,0.951,0.061,0.619,0.946,0.973,0.986,0.997
0,oneq_gates,141.0,0.998,0.003,0.978,0.998,0.999,1.0,1.0
0,success0,141.0,0.958,0.068,0.624,0.956,0.985,0.993,0.998
0,success1,141.0,0.944,0.06,0.615,0.933,0.964,0.982,0.996
0,success_diff,141.0,0.014,0.042,-0.168,0.001,0.012,0.023,0.21
1,accum_prob,8.0,0.761,0.15,0.596,0.607,0.768,0.912,0.923
1,oneq_gates,8.0,0.992,0.007,0.978,0.989,0.995,0.997,0.999
1,success0,8.0,0.93,0.067,0.81,0.899,0.945,0.988,0.993
1,success1,8.0,0.593,0.244,0.259,0.393,0.599,0.836,0.853
1,success_diff,8.0,0.337,0.197,0.137,0.154,0.329,0.438,0.675
2,accum_prob,4.0,0.787,0.123,0.611,0.762,0.82,0.844,0.897
2,oneq_gates,4.0,0.998,0.001,0.997,0.997,0.998,0.998,0.999
2,success0,4.0,0.642,0.201,0.352,0.611,0.702,0.734,0.813
2,success1,4.0,0.932,0.047,0.87,0.915,0.938,0.955,0.982
2,success_diff,4.0,-0.29,0.156,-0.518,-0.308,-0.236,-0.217,-0.169
3,accum_prob,3.0,0.963,0.012,0.952,0.956,0.961,0.968,0.975
3,oneq_gates,3.0,0.996,0.002,0.995,0.995,0.995,0.997,0.998
3,success0,3.0,0.993,0.003,0.991,0.992,0.992,0.994,0.997
3,success1,3.0,0.932,0.02,0.914,0.922,0.93,0.942,0.953
3,success_diff,3.0,0.061,0.018,0.043,0.052,0.062,0.07,0.078
