,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
program,variable,,,,,,,,
0,accum_prob,42.0,0.908,0.08,0.619,0.887,0.932,0.965,0.984
0,oneq_gates,42.0,0.998,0.002,0.993,0.998,0.999,1.0,1.0
0,success0,42.0,0.909,0.087,0.624,0.9,0.939,0.968,0.985
0,success1,42.0,0.907,0.075,0.615,0.871,0.931,0.958,0.991
0,success_diff,42.0,0.002,0.03,-0.115,-0.001,0.002,0.013,0.047
1,accum_prob,65.0,0.98,0.017,0.888,0.975,0.985,0.99,0.997
1,oneq_gates,65.0,0.999,0.003,0.978,0.999,1.0,1.0,1.0
1,success0,65.0,0.986,0.013,0.904,0.984,0.989,0.994,0.998
1,success1,65.0,0.973,0.022,0.872,0.965,0.977,0.988,0.996
1,success_diff,65.0,0.013,0.013,-0.01,0.003,0.009,0.02,0.061
2,accum_prob,22.0,0.939,0.063,0.708,0.926,0.962,0.973,0.983
2,oneq_gates,22.0,0.996,0.005,0.978,0.995,0.998,0.999,0.999
2,success0,22.0,0.984,0.019,0.914,0.982,0.99,0.994,0.997
2,success1,22.0,0.895,0.108,0.501,0.883,0.932,0.952,0.97
2,success_diff,22.0,0.089,0.09,0.027,0.043,0.056,0.086,0.413
3,accum_prob,12.0,0.985,0.006,0.969,0.983,0.986,0.989,0.994
3,oneq_gates,12.0,0.999,0.001,0.998,0.999,0.999,0.999,1.0
3,success0,12.0,0.995,0.003,0.988,0.995,0.996,0.996,0.998
3,success1,12.0,0.976,0.011,0.95,0.972,0.976,0.982,0.99
3,success_diff,12.0,0.019,0.008,0.008,0.015,0.02,0.022,0.038
4,accum_prob,6.0,0.864,0.071,0.773,0.816,0.862,0.912,0.96
4,oneq_gates,6.0,0.998,0.003,0.993,0.997,0.998,0.999,1.0
4,success0,6.0,0.786,0.103,0.693,0.7,0.76,0.856,0.935
4,success1,6.0,0.943,0.049,0.853,0.934,0.955,0.978,0.985
4,success_diff,6.0,-0.157,0.075,-0.238,-0.217,-0.164,-0.11,-0.049
5,accum_prob,1.0,0.923,,0.923,0.923,0.923,0.923,0.923
5,oneq_gates,1.0,0.987,,0.987,0.987,0.987,0.987,0.987
5,success0,1.0,0.993,,0.993,0.993,0.993,0.993,0.993
5,success1,1.0,0.853,,0.853,0.853,0.853,0.853,0.853
5,success_diff,1.0,0.14,,0.14,0.14,0.14,0.14,0.14
6,accum_prob,4.0,0.801,0.134,0.61,0.761,0.842,0.882,0.912
6,oneq_gates,4.0,0.997,0.002,0.995,0.996,0.997,0.998,0.999
6,success0,4.0,0.915,0.074,0.81,0.89,0.936,0.961,0.977
6,success1,4.0,0.688,0.194,0.41,0.632,0.746,0.802,0.847
6,success_diff,4.0,0.227,0.12,0.13,0.159,0.19,0.258,0.4
7,accum_prob,1.0,0.789,,0.789,0.789,0.789,0.789,0.789
7,oneq_gates,1.0,0.999,,0.999,0.999,0.999,0.999,0.999
7,success0,1.0,0.705,,0.705,0.705,0.705,0.705,0.705
7,success1,1.0,0.873,,0.873,0.873,0.873,0.873,0.873
7,success_diff,1.0,-0.168,,-0.168,-0.168,-0.168,-0.168,-0.168
8,accum_prob,1.0,0.596,,0.596,0.596,0.596,0.596,0.596
8,oneq_gates,1.0,0.999,,0.999,0.999,0.999,0.999,0.999
8,success0,1.0,0.934,,0.934,0.934,0.934,0.934,0.934
8,success1,1.0,0.259,,0.259,0.259,0.259,0.259,0.259
8,success_diff,1.0,0.675,,0.675,0.675,0.675,0.675,0.675
9,accum_prob,1.0,0.611,,0.611,0.611,0.611,0.611,0.611
9,oneq_gates,1.0,0.998,,0.998,0.998,0.998,0.998,0.998
9,success0,1.0,0.352,,0.352,0.352,0.352,0.352,0.352
9,success1,1.0,0.87,,0.87,0.87,0.87,0.87,0.87
9,success_diff,1.0,-0.518,,-0.518,-0.518,-0.518,-0.518,-0.518
10,accum_prob,1.0,0.598,,0.598,0.598,0.598,0.598,0.598
10,oneq_gates,1.0,0.99,,0.99,0.99,0.99,0.99,0.99
10,success0,1.0,0.854,,0.854,0.854,0.854,0.854,0.854
10,success1,1.0,0.341,,0.341,0.341,0.341,0.341,0.341
10,success_diff,1.0,0.512,,0.512,0.512,0.512,0.512,0.512
