,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
program,variable,,,,,,,,
0,accum_prob,13.0,0.949,0.067,0.794,0.921,0.986,0.99,0.994
0,oneq_gates,13.0,0.999,0.001,0.996,0.999,0.999,1.0,1.0
0,success0,13.0,0.949,0.067,0.794,0.921,0.986,0.99,0.994
0,success1,13.0,0.949,0.067,0.794,0.921,0.986,0.99,0.994
0,success_diff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,accum_prob,73.0,0.974,0.022,0.888,0.969,0.982,0.988,0.997
1,oneq_gates,73.0,0.998,0.002,0.984,0.998,0.999,1.0,1.0
1,success0,73.0,0.984,0.021,0.904,0.984,0.992,0.995,0.998
1,success1,73.0,0.964,0.028,0.85,0.952,0.973,0.983,0.996
1,success_diff,73.0,0.019,0.022,0.0,0.006,0.013,0.022,0.137
2,accum_prob,40.0,0.935,0.066,0.619,0.92,0.964,0.971,0.984
2,oneq_gates,40.0,0.999,0.001,0.992,0.999,0.999,1.0,1.0
2,success0,40.0,0.957,0.063,0.624,0.958,0.976,0.986,0.995
2,success1,40.0,0.914,0.075,0.615,0.893,0.943,0.96,0.975
2,success_diff,40.0,0.043,0.044,0.009,0.018,0.028,0.047,0.21
3,accum_prob,4.0,0.842,0.099,0.708,0.797,0.868,0.913,0.923
3,oneq_gates,4.0,0.989,0.008,0.978,0.984,0.991,0.995,0.995
3,success0,4.0,0.963,0.037,0.914,0.946,0.972,0.99,0.993
3,success1,4.0,0.721,0.162,0.501,0.649,0.764,0.836,0.853
3,success_diff,4.0,0.242,0.125,0.14,0.154,0.208,0.297,0.413
4,accum_prob,16.0,0.871,0.088,0.726,0.79,0.898,0.957,0.983
4,oneq_gates,16.0,0.998,0.002,0.993,0.997,0.999,1.0,1.0
4,success0,16.0,0.826,0.117,0.685,0.707,0.842,0.94,0.977
4,success1,16.0,0.916,0.072,0.766,0.868,0.938,0.978,0.991
4,success_diff,16.0,-0.089,0.083,-0.238,-0.162,-0.076,-0.012,-0.002
5,accum_prob,6.0,0.942,0.076,0.791,0.955,0.963,0.984,0.995
5,oneq_gates,6.0,0.995,0.009,0.978,0.997,0.999,1.0,1.0
5,success0,6.0,0.941,0.076,0.79,0.952,0.961,0.983,0.994
5,success1,6.0,0.943,0.076,0.791,0.956,0.966,0.984,0.995
5,success_diff,6.0,-0.002,0.004,-0.01,-0.001,-0.001,-0.001,-0.0
6,accum_prob,2.0,0.597,0.001,0.596,0.596,0.597,0.597,0.598
6,oneq_gates,2.0,0.995,0.006,0.99,0.993,0.995,0.997,0.999
6,success0,2.0,0.894,0.057,0.854,0.874,0.894,0.914,0.934
6,success1,2.0,0.3,0.058,0.259,0.28,0.3,0.32,0.341
6,success_diff,2.0,0.594,0.115,0.512,0.553,0.594,0.634,0.675
7,accum_prob,1.0,0.61,,0.61,0.61,0.61,0.61,0.61
7,oneq_gates,1.0,0.996,,0.996,0.996,0.996,0.996,0.996
7,success0,1.0,0.81,,0.81,0.81,0.81,0.81,0.81
7,success1,1.0,0.41,,0.41,0.41,0.41,0.41,0.41
7,success_diff,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
8,accum_prob,1.0,0.611,,0.611,0.611,0.611,0.611,0.611
8,oneq_gates,1.0,0.998,,0.998,0.998,0.998,0.998,0.998
8,success0,1.0,0.352,,0.352,0.352,0.352,0.352,0.352
8,success1,1.0,0.87,,0.87,0.87,0.87,0.87,0.87
8,success_diff,1.0,-0.518,,-0.518,-0.518,-0.518,-0.518,-0.518
