horizon,diff_index,real_hardware,acc
4,0,fake_washington0,0.96861848810278611630900000000000000000000000000000000000000000000000000000000000
4,0,fake_washington1,0.97389248367958519837200000000000000000000000000000000000000000000000000000000000
4,0,fake_washington2,0.97045327322229385820880000000000000000000000000000000000000000000000000000000000
4,0,fake_washington3,0.90683010411537841942560000000000000000000000000000000000000000000000000000000000
4,0,fake_washington4,0.48460509602670664157840000000000000000000000000000000000000000000000000000000000
4,0,fake_washington5,0.71471132542703300450000000000000000000000000000000000000000000000000000000000000
4,0,fake_washington6,0.98052901321650679671280000000000000000000000000000000000000000000000000000000000
4,0,fake_rochester0,0.74155580005937533380000000000000000000000000000000000000000000000000000000000000
4,0,fake_rochester1,0.76893456111646403795125000000000000000000000000000000000000000000000000000000000
4,0,fake_rochester2,0.60372142650419638401000000000000000000000000000000000000000000000000000000000000
4,0,fake_rochester3,0.94592408316483485320000000000000000000000000000000000000000000000000000000000000
4,0,fake_rochester4,0.58664327729802084907375000000000000000000000000000000000000000000000000000000000
4,0,fake_cambridge0,0.49303842164342904384000000000000000000000000000000000000000000000000000000000000
4,0,fake_cambridge1,0.85385450337362818908800000000000000000000000000000000000000000000000000000000000
4,0,fake_cambridge2,0.60375618334874564146300000000000000000000000000000000000000000000000000000000000
4,0,fake_cambridge3,0.91639098422370146816000000000000000000000000000000000000000000000000000000000000
4,0,fake_cambridge4,0.94513688596753465241600000000000000000000000000000000000000000000000000000000000
4,0,fake_hanoi0,0.94687642770139126934200000000000000000000000000000000000000000000000000000000000
4,0,fake_hanoi1,0.95776419422451047141120000000000000000000000000000000000000000000000000000000000
4,0,fake_hanoi2,0.98387899081881254005320000000000000000000000000000000000000000000000000000000000
4,0,fake_hanoi3,0.98523020423478118801120000000000000000000000000000000000000000000000000000000000
4,0,fake_hanoi4,0.90743935893316508604240000000000000000000000000000000000000000000000000000000000
4,0,fake_hanoi5,0.91190766528434579205870000000000000000000000000000000000000000000000000000000000
4,0,fake_hanoi6,0.91576552106218982653000000000000000000000000000000000000000000000000000000000000
4,0,fake_brooklyn0,0.86495401126821231912400000000000000000000000000000000000000000000000000000000000
4,0,fake_brooklyn1,0.97456890319216520328270000000000000000000000000000000000000000000000000000000000
4,0,fake_brooklyn2,0.97080455577458341715960000000000000000000000000000000000000000000000000000000000
4,0,fake_brooklyn3,0.97643771547782240670000000000000000000000000000000000000000000000000000000000000
4,0,fake_brooklyn4,0.97776364368514313528280000000000000000000000000000000000000000000000000000000000
4,0,fake_brooklyn5,0.90724407391333973349600000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo0,0.98375740020353461296000000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo1,0.96750399861422154375000000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo2,0.97228622807158486500720000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo3,0.98162926192658096346720000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo4,0.98449283249224386528720000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo5,0.88617252336565459914960000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo6,0.88724711616846497203200000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo7,0.97360147361659512084480000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo8,0.95558088080536826595840000000000000000000000000000000000000000000000000000000000
4,0,fake_cairo9,0.95895814084957223426320000000000000000000000000000000000000000000000000000000000
4,0,fake_sydney0,0.93238918240717288589930000000000000000000000000000000000000000000000000000000000
4,0,fake_sydney1,0.93762149690463609753000000000000000000000000000000000000000000000000000000000000
4,0,fake_sydney2,0.86680964149338487668480000000000000000000000000000000000000000000000000000000000
4,0,fake_sydney3,0.87275878770596728523220000000000000000000000000000000000000000000000000000000000
4,0,fake_sydney4,0.96896767409545620111000000000000000000000000000000000000000000000000000000000000
4,0,fake_sydney5,0.97266857068040722025000000000000000000000000000000000000000000000000000000000000
4,0,fake_geneva0,0.84251442257637828620080000000000000000000000000000000000000000000000000000000000
4,0,fake_geneva1,0.96030804813984578859750000000000000000000000000000000000000000000000000000000000
4,0,fake_geneva2,0.96977378851042104455040000000000000000000000000000000000000000000000000000000000
4,0,fake_toronto0,0.87738950000183611043200000000000000000000000000000000000000000000000000000000000
4,0,fake_toronto1,0.89090214028490298947560000000000000000000000000000000000000000000000000000000000
4,0,fake_toronto2,0.94728375202780832786800000000000000000000000000000000000000000000000000000000000
4,0,fake_toronto3,0.97479097516964126220600000000000000000000000000000000000000000000000000000000000
4,0,fake_toronto4,0.71337930956169622410600000000000000000000000000000000000000000000000000000000000
4,0,fake_toronto5,0.87659266294792492200180000000000000000000000000000000000000000000000000000000000
4,0,fake_toronto6,0.94572801548741409968880000000000000000000000000000000000000000000000000000000000
4,0,fake_toronto7,0.95654031833937926776800000000000000000000000000000000000000000000000000000000000
4,0,fake_toronto8,0.97972384607991780280000000000000000000000000000000000000000000000000000000000000
4,0,fake_kolkata0,0.96880530947244790296540000000000000000000000000000000000000000000000000000000000
4,0,fake_kolkata1,0.96913325799697161751920000000000000000000000000000000000000000000000000000000000
4,0,fake_kolkata2,0.89653559707473304257780000000000000000000000000000000000000000000000000000000000
4,0,fake_kolkata3,0.98383301477631732865760000000000000000000000000000000000000000000000000000000000
4,0,fake_kolkata4,0.98744333798901100050000000000000000000000000000000000000000000000000000000000000
4,0,fake_kolkata5,0.98443505272659269948600000000000000000000000000000000000000000000000000000000000
4,0,fake_kolkata6,0.98696543266378677735360000000000000000000000000000000000000000000000000000000000
4,0,fake_auckland0,0.85710629178098062870600000000000000000000000000000000000000000000000000000000000
4,0,fake_auckland1,0.98665120080104389167600000000000000000000000000000000000000000000000000000000000
4,0,fake_almaden0,0.90049181397034724370675600000000000000000000000000000000000000000000000000000000
4,0,fake_almaden1,0.90298696150358934861952000000000000000000000000000000000000000000000000000000000
4,0,fake_almaden2,0.90548411976074822072431850000000000000000000000000000000000000000000000000000000
4,0,fake_almaden3,0.92618751579767487194350500000000000000000000000000000000000000000000000000000000
4,0,fake_almaden4,0.74389600413120666565735950000000000000000000000000000000000000000000000000000000
4,0,fake_almaden5,0.75248173620250356991642700000000000000000000000000000000000000000000000000000000
4,0,fake_almaden6,0.96167796461933085829698800000000000000000000000000000000000000000000000000000000
4,0,fake_almaden7,0.84670913340735283921579200000000000000000000000000000000000000000000000000000000
4,0,fake_almaden8,0.95892102997712819624000100000000000000000000000000000000000000000000000000000000
4,0,fake_boeblingen0,0.93700293982477206058400000000000000000000000000000000000000000000000000000000000
4,0,fake_boeblingen1,0.95116621688484803411940000000000000000000000000000000000000000000000000000000000
4,0,fake_boeblingen2,0.95654591656396261356960000000000000000000000000000000000000000000000000000000000
4,0,fake_boeblingen3,0.94205470318561974886120000000000000000000000000000000000000000000000000000000000
4,0,fake_boeblingen4,0.85435582563986798791340000000000000000000000000000000000000000000000000000000000
4,0,fake_boeblingen5,0.89794950368263037610800000000000000000000000000000000000000000000000000000000000
4,0,fake_boeblingen6,0.89971702105216075407360000000000000000000000000000000000000000000000000000000000
4,0,fake_johannesburg0,0.80726873335559777926920000000000000000000000000000000000000000000000000000000000
4,0,fake_johannesburg1,0.88355208830888611512180000000000000000000000000000000000000000000000000000000000
4,0,fake_johannesburg2,0.89294981415027173954960000000000000000000000000000000000000000000000000000000000
4,0,fake_johannesburg3,0.93850973087487549135000000000000000000000000000000000000000000000000000000000000
4,0,fake_johannesburg4,0.95222298392789383328220000000000000000000000000000000000000000000000000000000000
4,0,fake_manhattan0,0.47152634445610945093740000000000000000000000000000000000000000000000000000000000
4,0,fake_manhattan1,0.47001463529964357323080000000000000000000000000000000000000000000000000000000000
4,0,fake_manhattan2,0.94331305263066951783380000000000000000000000000000000000000000000000000000000000
4,0,fake_manhattan3,0.80003589651734248386900000000000000000000000000000000000000000000000000000000000
4,0,fake_manhattan4,0.50042574638564238330360000000000000000000000000000000000000000000000000000000000
4,0,fake_manhattan5,0.50042576803051109765840000000000000000000000000000000000000000000000000000000000
4,0,fake_manhattan6,0.97572264349561569837000000000000000000000000000000000000000000000000000000000000
4,0,fake_poughkeepsie0,0.95543040666706931948800000000000000000000000000000000000000000000000000000000000
4,0,fake_poughkeepsie1,0.95478073514173078705000000000000000000000000000000000000000000000000000000000000
4,0,fake_poughkeepsie2,0.85041657060524920832000000000000000000000000000000000000000000000000000000000000
4,0,fake_poughkeepsie3,0.88399020720670836224000000000000000000000000000000000000000000000000000000000000
4,0,fake_poughkeepsie4,0.76425886299535072830000000000000000000000000000000000000000000000000000000000000
4,0,fake_poughkeepsie5,0.77047329213150113550000000000000000000000000000000000000000000000000000000000000
4,0,fake_tokyo0,0.88944929299938702560000000000000000000000000000000000000000000000000000000000000
4,0,fake_tokyo1,0.84822236959990664312400000000000000000000000000000000000000000000000000000000000
4,0,fake_tokyo2,0.76612696346400653224500000000000000000000000000000000000000000000000000000000000
4,0,fake_tokyo3,0.78632624355536853744800000000000000000000000000000000000000000000000000000000000
4,0,fake_tokyo4,0.91816879057549143460000000000000000000000000000000000000000000000000000000000000
4,0,fake_tokyo5,0.94125384123272594590200000000000000000000000000000000000000000000000000000000000
