,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
program,variable,,,,,,,,
0,accum_prob,221.0,0.9427420814479638,0.07510478433624143,0.5965,0.931,0.9704999999999999,0.985,0.997
0,couplers_success,221.0,0.9669276018099549,0.0943977643617436,0.0,0.9685,0.9815,0.989,0.994
0,success0,221.0,0.9556968325791856,0.07762786190838504,0.352,0.954,0.985,0.992,0.998
0,success1,221.0,0.9297873303167421,0.10188172743040841,0.259,0.921,0.961,0.981,0.996
0,success_diff,221.0,0.025909502262443443,0.10123748385143377,-0.518,0.0020000000000000018,0.014000000000000012,0.03200000000000003,0.675
1,accum_prob,4.0,0.8176249999999999,0.1669857154569416,0.61,0.71875,0.85025,0.949125,0.96
1,couplers_success,4.0,0.476125,0.014167892103861686,0.4565,0.471875,0.479,0.48324999999999996,0.49
1,success0,4.0,0.8524999999999999,0.10828511747542534,0.719,0.78725,0.8725,0.9377500000000001,0.946
1,success1,4.0,0.78275,0.26219633229064565,0.41,0.69575,0.868,0.955,0.985
1,success_diff,4.0,0.06975000000000002,0.22227966618654083,-0.07200000000000006,-0.055499999999999966,-0.024499999999999966,0.10075000000000002,0.4000000000000001
