,hardware_spec,success0,success1,success_diff,abs_diff,accum_prob,couplers_success
0,fake_cambridge0,0.81,0.41000000000000003,0.4,0.4,1.2200000000000002,0.9536676
1,fake_cambridge1,0.924,0.918,0.006000000000000005,0.006000000000000005,1.842,1.8466231
2,fake_cambridge2,0.352,0.87,-0.518,0.518,1.222,1.9392992
3,fake_cambridge3,0.994,0.972,0.02200000000000002,0.02200000000000002,1.966,1.8704068999999999
4,fake_cambridge4,0.994,0.972,0.02200000000000002,0.02200000000000002,1.966,1.9257878
