hardware,embedding,horizon,lambda,time
fake_melbourne,0,2,0.00000000000000000000000000000000000000000000000000000000,0
fake_melbourne,0,3,0.00000000000000000000000000000000000000000000000000000000,2
fake_melbourne,0,4,0.00000000000000000000000000000000000000000000000000000000,19
fake_melbourne,0,5,0.00000000000000000000000000000000000000000000000000000000,156
fake_melbourne,0,6,0.00000000000000000000000000000000000000000000000000000000,1206
fake_melbourne,1,2,0.00000000000000000000000000000000000000000000000000000000,0
fake_melbourne,1,3,0.00000000000000000000000000000000000000000000000000000000,0
fake_melbourne,1,4,0.00000000000000000000000000000000000000000000000000000000,5
fake_melbourne,1,5,0.00000000000000000000000000000000000000000000000000000000,32
fake_melbourne,1,6,0.00000000000000000000000000000000000000000000000000000000,222
